( 2023/02/09 19:19:36.468) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:19:59.211) #left_data: ,0.42,0.0,0.14,0.06,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.281) #left_data: ,0.24,0.0,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.353) #left_data: ,0.11,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.419) #left_data: ,0.06,0.0,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.483) #left_data: ,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.545) #left_data: ,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.614) #left_data: ,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.690) #left_data: ,0.0,0.0,0.11,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:59.757) #left_data: ,0.0,0.0,0.09,0.0,0.0,0.0,0.06,0.06
( 2023/02/09 19:19:59.816) #left_data: ,0.0,0.0,0.09,0.0,0.0,0.0,0.06,0.06
( 2023/02/09 19:19:59.876) #left_data: ,1.16,3.47,1.32,1.17,0.0,0.91,2.44,0.62
( 2023/02/09 19:19:59.943) #left_data: ,3.01,4.69,1.96,0.0,0.0,0.98,2.85,0.68
( 2023/02/09 19:20:00.018) #left_data: ,3.01,4.69,1.96,0.0,0.0,0.98,2.85,0.68
( 2023/02/09 19:20:00.085) #left_data: ,3.58,5.07,2.73,0.59,0.0,1.08,1.55,1.12
( 2023/02/09 19:20:00.144) #left_data: ,3.36,4.64,2.79,0.76,0.0,1.03,1.22,0.59
( 2023/02/09 19:20:00.205) #left_data: ,3.36,4.64,2.79,0.76,0.0,1.03,1.22,0.59
( 2023/02/09 19:20:00.275) #left_data: ,3.4,3.78,3.11,1.72,0.0,0.01,0.8,0.28
( 2023/02/09 19:20:00.346) #left_data: ,3.4,3.78,3.11,1.72,0.0,0.01,0.8,0.28
( 2023/02/09 19:20:00.412) #left_data: ,4.49,4.54,3.91,2.21,0.0,0.54,0.42,0.1
