( 2023/02/10 14:11:38.096) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 14:12:13.859) #left_data: ,0.77,0.12,0.75,1.23,0.0,0.54,6.88,6.13
( 2023/02/10 14:12:13.928) #left_data: ,0.77,0.12,0.75,1.23,0.0,0.54,6.88,6.13
( 2023/02/10 14:12:13.996) #left_data: ,0.39,0.79,2.28,2.18,0.0,2.16,3.36,1.85
( 2023/02/10 14:12:14.056) #left_data: ,0.39,0.79,2.28,2.18,0.0,2.16,3.36,1.85
( 2023/02/10 14:12:14.118) #left_data: ,3.32,3.51,3.18,1.76,0.0,0.7,1.45,0.8
( 2023/02/10 14:12:14.186) #left_data: ,6.88,6.34,5.66,1.92,0.0,0.3,0.0,0.0
( 2023/02/10 14:12:14.257) #left_data: ,6.88,6.34,5.66,1.92,0.0,0.3,0.0,0.0
( 2023/02/10 14:12:14.326) #left_data: ,7.58,5.01,3.82,0.09,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.390) #left_data: ,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.453) #left_data: ,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.523) #left_data: ,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.594) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.662) #left_data: ,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.727) #left_data: ,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.789) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:14.859) #left_data: ,0.0,0.0,0.0,0.04,0.0,0.07,0.21,0.16
( 2023/02/10 14:12:14.931) #left_data: ,0.69,0.0,0.01,0.82,0.0,1.05,6.65,6.27
( 2023/02/10 14:12:14.997) #left_data: ,0.69,0.0,0.01,0.82,0.0,1.05,6.65,6.27
( 2023/02/10 14:12:15.055) #left_data: ,1.78,1.18,1.18,1.21,0.0,0.28,6.57,5.79
( 2023/02/10 14:12:15.113) #left_data: ,1.78,1.18,1.18,1.21,0.0,0.28,6.57,5.79
( 2023/02/10 14:12:15.177) #left_data: ,2.44,1.85,0.96,0.09,0.01,0.17,5.12,3.95
( 2023/02/10 14:12:15.241) #left_data: ,3.4,3.32,2.5,0.91,0.0,0.47,2.44,0.58
( 2023/02/10 14:12:15.317) #left_data: ,4.49,4.75,4.21,2.11,0.0,0.61,0.43,0.04
( 2023/02/10 14:12:15.383) #left_data: ,6.34,5.86,5.66,2.79,0.0,0.78,0.0,0.0
( 2023/02/10 14:12:15.443) #left_data: ,8.16,3.11,2.89,0.55,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.504) #left_data: ,8.16,3.11,2.89,0.55,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.572) #left_data: ,3.05,0.0,0.18,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.641) #left_data: ,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.714) #left_data: ,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.774) #left_data: ,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.841) #left_data: ,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.911) #left_data: ,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.987) #left_data: ,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.106) #left_data: ,0.6,0.0,0.27,1.13,0.0,1.25,6.57,5.92
( 2023/02/10 14:12:16.167) #left_data: ,0.75,0.4,0.83,1.24,0.0,0.01,6.8,5.99
( 2023/02/10 14:12:16.233) #left_data: ,1.34,0.98,1.11,0.1,0.0,0.18,6.42,5.54
( 2023/02/10 14:12:16.303) #left_data: ,2.18,0.51,0.78,0.75,0.0,0.65,5.24,3.62
( 2023/02/10 14:12:16.372) #left_data: ,4.03,2.85,2.64,1.55,0.0,0.57,2.03,1.1
( 2023/02/10 14:12:16.432) #left_data: ,5.6,4.96,4.3,2.06,0.0,1.1,0.25,0.0
( 2023/02/10 14:12:16.495) #left_data: ,7.22,5.48,5.12,1.99,0.0,0.41,0.0,0.0
( 2023/02/10 14:12:16.563) #left_data: ,8.26,5.48,4.8,1.28,0.0,0.01,0.0,0.0
( 2023/02/10 14:12:16.632) #left_data: ,8.36,3.99,2.61,1.2,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.696) #left_data: ,5.01,1.05,0.67,0.21,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.756) #left_data: ,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.818) #left_data: ,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.880) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.948) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
