( 2023/02/09 17:11:46.352) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:12:36.068) #right_data: ,4.96,3.47,2.47,1.59,0,1.05,0.03,0
( 2023/02/09 17:12:36.134) #right_data: ,4.75,3.22,2.47,1.51,0,0.76,0.01,0
( 2023/02/09 17:12:36.195) #right_data: ,4.59,3.32,2.44,1.43,0,0.83,0.03,0
( 2023/02/09 17:12:36.260) #right_data: ,4.69,3.82,2.5,1.37,0,1.02,0.21,0.01
( 2023/02/09 17:12:36.329) #right_data: ,5.79,4.96,3.08,1.49,0,0.65,0,0
( 2023/02/09 17:12:36.398) #right_data: ,5.79,4.96,3.08,1.49,0,0.65,0,0
( 2023/02/09 17:12:36.464) #right_data: ,0.32,0,0,0.1,0,0,0,0
( 2023/02/09 17:12:36.526) #right_data: ,0.32,0,0,0.1,0,0,0,0
( 2023/02/09 17:12:36.584) #right_data: ,0.4,0,0,0,0,0,0,0
( 2023/02/09 17:12:36.648) #right_data: ,0.53,0,0,0,0,0,0,0
( 2023/02/09 17:12:36.715) #right_data: ,0.7,0,0,0,0,0,0,0
( 2023/02/09 17:12:36.785) #right_data: ,0.53,0,0,0,0,0,0,0
( 2023/02/09 17:12:36.863) #right_data: ,0.28,0,0,0,0,0,0,0
( 2023/02/09 17:12:36.920) #right_data: ,0.2,0,0,0,0,0,0,0
( 2023/02/09 17:12:36.982) #right_data: ,0.29,0,0,0,0,0,1.39,0.82
( 2023/02/09 17:12:37.049) #right_data: ,0.29,0,0,0,0,0,1.39,0.82
( 2023/02/09 17:12:37.119) #right_data: ,0.29,0,0,0,0,0,1.39,0.82
( 2023/02/09 17:12:37.182) #right_data: ,0.99,0,0,0.35,0,0.44,4.08,3.01
( 2023/02/09 17:12:37.241) #right_data: ,0.99,0,0,0.35,0,0.44,4.08,3.01
( 2023/02/09 17:12:37.305) #right_data: ,0.99,0,0,0.35,0,0.44,4.08,3.01
( 2023/02/09 17:12:37.374) #right_data: ,0.99,0,0,0.35,0,0.44,4.08,3.01
( 2023/02/09 17:12:37.441) #right_data: ,4.17,0.23,0.49,1.2,0,1.03,3.11,1.37
( 2023/02/09 17:12:37.502) #right_data: ,4.17,0.23,0.49,1.2,0,1.03,3.11,1.37
( 2023/02/09 17:12:37.563) #right_data: ,6.88,4.75,2.36,0.55,0,0.48,0.01,0
( 2023/02/09 17:12:37.626) #right_data: ,6.2,1.83,1.59,0.58,0,0.13,0,0
( 2023/02/09 17:12:37.693) #right_data: ,0.51,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:37.762) #right_data: ,0.59,0,0,0,0,0,0,0
( 2023/02/09 17:12:37.822) #right_data: ,0.78,0,0,0,0,0,0.02,0
( 2023/02/09 17:12:37.882) #right_data: ,0.88,0,0,0,0,0,0,0
( 2023/02/09 17:12:37.948) #right_data: ,0.93,0,0,0,0,0,0,0
( 2023/02/09 17:12:38.010) #right_data: ,0.72,0,0,0,0,0,0,0
( 2023/02/09 17:12:38.073) #right_data: ,0.53,0,0,0,0,0,0,0
