( 2023/02/09 19:29:05.645) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 19:29:25.960) #right_data: ,0.55,0.0,0.0,0.0,0.0,0.0,0.04,0.0
( 2023/02/09 19:29:26.026) #right_data: ,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.095) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.170) #right_data: ,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.231) #right_data: ,0.36,0.01,0.04,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.294) #right_data: ,0.36,0.01,0.04,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.359) #right_data: ,0.23,0.06,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.428) #right_data: ,0.85,0.17,0.28,0.2,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.496) #right_data: ,0.85,0.17,0.28,0.2,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.559) #right_data: ,4.26,5.24,4.45,3.55,0.0,1.02,0.8,0.01
( 2023/02/09 19:29:26.619) #right_data: ,4.26,5.24,4.45,3.55,0.0,1.02,0.8,0.01
( 2023/02/09 19:29:26.684) #right_data: ,4.3,5.07,3.82,2.76,0.0,0.26,0.04,0.08
( 2023/02/09 19:29:26.746) #right_data: ,3.95,3.99,2.61,1.92,0.0,1.05,1.11,0.04
( 2023/02/09 19:29:26.804) #right_data: ,3.95,3.99,2.61,1.92,0.0,1.05,1.11,0.04
( 2023/02/09 19:29:26.867) #right_data: ,4.12,3.74,2.79,2.28,0.0,1.03,0.5,0.0
( 2023/02/09 19:29:26.927) #right_data: ,4.12,3.74,2.79,2.28,0.0,1.03,0.5,0.0
